,zone,rhythmic
oat,Pericentral,False
cyp2e1,Pericentral,False
glul,Pericentral,False
cyp2c29,Pericentral,False
cyp2f2,Periportal,False
cyp2c50,Pericentral,False
cyp1a2,Pericentral,False
cyp2c37,Pericentral,False
rgn,Pericentral,False
pigr,Periportal,False
hsd17b13,Periportal,False
gulo,Pericentral,False
cyp2c54,Pericentral,False
hal,Periportal,False
cyp4a10,Pericentral,False
csad,Pericentral,False
gls2,Periportal,False
slco1b2,Pericentral,False
cyp3a11,Pericentral,False
hpx,Periportal,False
aldh1a1,Pericentral,False
sfxn1,Periportal,False
slc22a1,Pericentral,False
lect2,Pericentral,False
pon1,Pericentral,False
acaa1b,Pericentral,False
akr1c6,Pericentral,False
ass1,Periportal,False
uroc1,Periportal,False
car3,Pericentral,False
alb,Periportal,False
mug2,Periportal,False
gstm6,Pericentral,False
cyp2c67,Pericentral,False
gstm1,Pericentral,False
blvrb,Pericentral,False
gstm2,Pericentral,False
fitm1,Pericentral,False
serpina12,Periportal,False
serpina1e,Periportal,False
cps1,Periportal,False
lpl,Pericentral,False
fbp1,Periportal,False
gm2a,Periportal,False
nrn1,Pericentral,False
tsc22d1,Pericentral,False
apoa4,Periportal,False
cyb5a,Pericentral,False
aldh1b1,Periportal,False
cyp4a12b,Pericentral,False
cyp4a12a,Pericentral,False
ces3b,Periportal,False
asl,Periportal,False
serpind1,Periportal,False
mgst1,Pericentral,False
ctsc,Periportal,False
elovl2,Periportal,False
c8a,Periportal,False
cyp2c68,Pericentral,False
gstm3,Pericentral,False
cyp2c40,Pericentral,False
apoa5,Periportal,False
gstt1,Pericentral,False
neat1,Periportal,False
cpox,Pericentral,False
entpd5,Pericentral,False
sepp1,Periportal,False
fam25c,Pericentral,False
igf1,Periportal,False
fgb,Periportal,False
c3,Periportal,False
itih3,Periportal,False
itih4,Periportal,False
cyp2c69,Pericentral,False
ang,Pericentral,False
hpd,Pericentral,False
ugt2b1,Pericentral,False
cyp7b1,Pericentral,False
afm,Periportal,False
cldn2,Pericentral,False
trf,Periportal,False
hc,Periportal,False
serpina1b,Periportal,False
rdh16,Pericentral,False
c8b,Periportal,False
serpinf2,Periportal,False
sult2a8,Pericentral,False
fads1,Periportal,False
hp,Periportal,False
akr1c20,Pericentral,False
nnmt,Periportal,False
ahsg,Periportal,False
serpina1d,Periportal,False
aox3,Periportal,False
ambp,Periportal,False
hrsp12,Periportal,False
chpt1,Pericentral,False
plpp3,Pericentral,False
rarres1,Pericentral,False
tat,Periportal,False
serpina1c,Periportal,False
cml2,Pericentral,False
ccl9,Periportal,False
fga,Periportal,False
plg,Periportal,False
chp1,Pericentral,False
cib3,Periportal,False
sdc1,Periportal,False
serpinc1,Periportal,False
acot1,Pericentral,False
serpina7,Pericentral,False
paqr9,Pericentral,False
slco2a1,Periportal,False
orm1,Periportal,False
atp5g1,Periportal,False
foxq1,Periportal,False
4931406c07rik,Pericentral,False
aldh1l1,Periportal,False
cfi,Periportal,False
hsd17b10,Pericentral,False
phldb2,Pericentral,False
inmt,Pericentral,False
cyp2c38,Pericentral,False
gc,Periportal,False
igfbp2,Midzone,False
gas2,Periportal,False
arpp19,Pericentral,False
ost4,Pericentral,False
cyp2d9,Pericentral,False
c6,Pericentral,False
igfals,Periportal,False
tlcd2,Pericentral,False
mt-co2,Periportal,False
wfdc21,Midzone,False
cbs,Periportal,False
ugt2b34,Pericentral,False
rmdn2,Pericentral,False
qsox1,Periportal,False
mt-cytb,Periportal,False
lgals1,Pericentral,False
kng1,Periportal,False
errfi1,Periportal,False
hgfac,Periportal,False
serpina1a,Periportal,False
serpinf1,Periportal,False
rps19,Pericentral,False
alad,Pericentral,False
ahr,Pericentral,False
atp5a1,Periportal,False
slc16a10,Pericentral,False
cd36,Pericentral,False
ugdh,Pericentral,False
f7,Periportal,False
alcam,Periportal,False
rpl37,Pericentral,False
hsd3b5,Pericentral,False
hmgcl,Pericentral,False
rpl36a,Pericentral,False
gm42418,Periportal,False
itih2,Periportal,False
cfh,Periportal,False
fabp2,Pericentral,False
rpl37a,Pericentral,False
gnmt,Periportal,False
lamp1,Periportal,False
cyp27a1,Pericentral,False
ces1g,Pericentral,False
frmd4b,Periportal,False
ugt2b38,Periportal,False
prodh,Pericentral,False
slco1a1,Pericentral,False
acaca,Periportal,False
abcc3,Pericentral,False
cpn2,Periportal,False
apoc1,Pericentral,False
rpl36,Pericentral,False
apom,Periportal,False
marc1,Periportal,False
rpl18a,Pericentral,False
sult1d1,Pericentral,False
tsku,Pericentral,False
cyp2d40,Pericentral,False
psmd4,Pericentral,False
selenbp2,Periportal,False
apoc3,Periportal,False
f10,Periportal,False
abhd2,Periportal,False
me1,Pericentral,False
prdx1,Pericentral,False
lsr,Periportal,False
bc089597,Midzone,False
st6gal1,Periportal,False
herpud1,Periportal,False
rpl35,Pericentral,False
apoa2,Pericentral,False
rps15a,Pericentral,False
slc22a7,Periportal,False
rpl11,Pericentral,False
cryl1,Periportal,False
mme,Pericentral,False
crot,Pericentral,False
tmem243,Pericentral,False
acaa1a,Pericentral,False
c2,Periportal,False
rps27l,Pericentral,False
dhrs1,Pericentral,False
creg1,Pericentral,False
vcp,Pericentral,False
serpina3k,Periportal,False
plxna2,Periportal,False
mt-nd3,Periportal,False
cebpb,Pericentral,False
hibadh,Pericentral,False
rtn4,Periportal,False
rpl39,Pericentral,False
tex264,Pericentral,False
tbx3,Pericentral,False
ppm1k,Pericentral,False
c4b,Periportal,False
gda,Pericentral,False
etnk1,Periportal,False
h2-q7,Periportal,False
abcg2,Pericentral,False
aw112010,Pericentral,False
mt-co3,Periportal,False
maob,Periportal,False
rarres2,Periportal,False
c4bp,Pericentral,False
rhbg,Pericentral,False
celf2,Pericentral,False
toporsos,Pericentral,False
mt-nd4,Periportal,False
cyp39a1,Periportal,False
rpl32,Pericentral,False
cyp2u1,Periportal,False
atox1,Pericentral,False
hmgcs1,Pericentral,False
spp1,Periportal,False
ccdc107,Pericentral,False
acat1,Pericentral,False
cib2,Pericentral,False
cyp2c70,Pericentral,False
fn1,Periportal,False
nxpe2,Pericentral,False
rpl35a,Pericentral,False
cxcl12,Periportal,False
otc,Periportal,False
cfhr2,Periportal,False
ugt2b36,Pericentral,False
gapdh,Periportal,False
clec2h,Periportal,False
tdo2,Periportal,False
ctsz,Periportal,False
atp11c,Pericentral,False
cyp4v3,Periportal,False
avpr1a,Pericentral,False
cmbl,Pericentral,False
ece1,Periportal,False
idh1,Pericentral,False
aadac,Periportal,False
sepw1,Pericentral,False
fgfr2,Periportal,False
qprt,Periportal,False
anapc13,Pericentral,False
ugt3a1,Pericentral,False
saa1,Periportal,False
bdh1,Pericentral,False
cela1,Pericentral,False
gm4788,Periportal,False
srebf1,Periportal,False
rps17,Pericentral,False
hprt,Pericentral,False
pebp1,Pericentral,False
ccbl1,Periportal,False
gpi1,Periportal,False
rpl24,Pericentral,False
rplp2,Pericentral,False
h2-q10,Periportal,False
gsr,Pericentral,False
fermt2,Pericentral,False
txndc17,Pericentral,False
tstd1,Periportal,False
npr2,Pericentral,False
h2-d1,Periportal,False
hsd17b11,Pericentral,False
slc6a13,Periportal,False
ldhd,Pericentral,False
2200002d01rik,Pericentral,False
ran,Pericentral,False
tmprss6,Periportal,False
grn,Periportal,False
h13,Periportal,False
kng2,Periportal,False
rplp1,Pericentral,False
lbp,Periportal,False
sdhb,Periportal,False
ube2e2,Pericentral,False
dynlrb1,Pericentral,False
slc41a2,Periportal,False
slc19a2,Pericentral,False
tsc22d3,Pericentral,False
nfyb,Pericentral,False
slc17a2,Periportal,False
atf5,Periportal,False
rpl31,Pericentral,False
bet1,Pericentral,False
aars,Pericentral,False
rps13,Pericentral,False
sdsl,Periportal,False
gm5424,Periportal,False
slc25a51,Periportal,False
azgp1,Periportal,False
pdia6,Periportal,False
egfr,Periportal,False
mrps21,Pericentral,False
tubb4b,Pericentral,False
pcsk6,Pericentral,False
btg2,Periportal,False
abcb11,Periportal,False
gtf2h5,Pericentral,False
apof,Periportal,False
slc13a3,Pericentral,False
mpc2,Pericentral,False
msmo1,Pericentral,False
slc25a39,Periportal,False
dnajc19,Pericentral,False
itm2b,Pericentral,False
abcd3,Pericentral,False
pctp,Pericentral,False
gm11808,Pericentral,False
nrp1,Pericentral,False
wsb1,Periportal,False
1810022k09rik,Pericentral,False
sult1b1,Pericentral,False
cxcl1,Periportal,False
c1d,Pericentral,False
col18a1,Periportal,False
prdx4,Periportal,False
bdh2,Periportal,False
lamtor2,Pericentral,False
il13ra1,Periportal,False
uqcrq,Pericentral,False
tlr12,Pericentral,False
slc6a6,Periportal,False
rpl27a,Pericentral,False
vnn1,Pericentral,False
akip1,Pericentral,False
slc26a1,Periportal,False
btg1,Periportal,False
rps24,Pericentral,False
cp,Periportal,False
hmgcr,Midzone,False
lsm6,Pericentral,False
bola3,Pericentral,False
rpl26,Pericentral,False
serpina3n,Periportal,False
bc048546,Pericentral,False
tpi1,Periportal,False
ubl5,Pericentral,False
c8g,Midzone,False
gcdh,Pericentral,False
tomm7,Pericentral,False
acsm3,Pericentral,False
